Predicted solution,R2
1.5714 * (x_0)**4 * (-0.8727 + -0.4312 * (x_0)**3)**-1 + -1.3849 * (x_0)**5 * (0.1174 + 0.8804 * t + -5.1753 * (x_0)**4)**-1 * (0.1429 + 1.0714 * t),-0.1324102426609588
0.1585 * x_0 * (-0.5722 + 3.0692 * (x_0)**5 * (0.1429 + 1.0714 * t))**-1 + 0.7328 * (x_0)**3 * (0.6903 + -0.8647 * x_0 * (0.1429 + 1.0714 * t))**-1 * (0.1429 + 1.0714 * t),-1.4218449467200287
-0.5718 * (-0.4623 + -1.0456 * x_0)**-1 + 0.5151 * (0.1429 + 1.0714 * t) * cos(0.5026 * x_0) * log(1.6376 * x_0),0.19757310356667057
1.5714 * (x_0)**4 * (-0.8727 + -0.4312 * (x_0)**3)**-1 + -1.3849 * (x_0)**5 * (0.1174 + 0.8804 * t + -5.1753 * (x_0)**4)**-1 * (0.1429 + 1.0714 * t),-0.1324102426609588
0.8902 * (x_0)**5 * (-0.1057 + -0.7924 * t + 3.4810 * (x_0)**3 * (0.1429 + 1.0714 * t))**-1 + -0.5547 * (-0.1186 + -0.8892 * t + -8.5486 * (x_0)**5 * (0.1429 + 1.0714 * t))**-1 * (0.1429 + 1.0714 * t),-0.24305934380608285
