Predicted solution,R2
0.0651 + 0.1775 * t + -0.4399 * (x_0)**3 * (cos(0.3691 * x_0))**-1,-17.406772993576883
0.0651 + 0.1775 * t + -0.4399 * (x_0)**3 * (cos(0.3691 * x_0))**-1,-17.406772993576883
0.0969 + 0.2643 * t + 0.5673 * (0.1042 + 0.2841 * t + -0.0277 * x_0 * (0.2500 + 0.6818 * t))**-1 + -0.4291 * (x_0)**2 * (0.2500 + 0.6818 * t) + -2.8606 * (x_0)**5 * (0.2500 + 0.6818 * t),-1.3709231481543163
-0.0134 + -0.0366 * t + 0.9365 * (x_0)**3 * (0.7889 + -1.9237 * (x_0)**2 * (0.2500 + 0.6818 * t)),-2.244240520734833
0.1280 + -0.4785 * cos(1.0324 * x_0) * log(1.2146 * x_0) + -0.8791 * (x_0)**4 * (0.3066 + -0.9901 * (x_0)**5)**-1 * (0.2500 + 0.6818 * t),-425.95954526928875
