Predicted solution,R2
0.0128 + -0.0068 * t + -7.0680 * (x_0)**3 + -3.5096 * (x_0)**2 * (-3.0909 + 1.6364 * t) * sin(3.0885 * x_0 * (-3.0909 + 1.6364 * t)),-5.168148242985166
0.0852 * (-0.2471 + 0.6763 * x_0)**-1 * (-3.0909 + 1.6364 * t) + 0.1078 * cos(25.1776 * x_0 * (-3.0909 + 1.6364 * t)) * exp(-2.5168 * x_0 * (-3.0909 + 1.6364 * t)),-7.879324089104697
0.0599 + -0.0041 * (-3.0909 + 1.6364 * t) * cos(166.4995 * x_0) + -0.0808 * exp(-4.4176 * x_0 * (-3.0909 + 1.6364 * t)) * log(11.7123 * x_0),-0.9607489272681038
0.0840 * sin(8.0862 * x_0 * (-3.0909 + 1.6364 * t)) + 0.0886 * (-3.0909 + 1.6364 * t) * sin(7.9929 * x_0),-0.4668258702372652
-0.3880 + 0.2054 * t + -3.0412 * (x_0)**2 * (-2.7883 + 1.4762 * t + -111495.2447 * (x_0)**5)**-1 * (-3.0909 + 1.6364 * t),-52.898838724701285
