Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.0008401980983887998*t*u^1+0.13624844143704354*u^2*sin(u/2.089437484464251)",0.14110616921334876
2,"-diff(u,t)+0.08329922538725439*u^3+-0.012725297956890345*u^4",0.13976072896321454
3,"-diff(u,t)+1.2434910448721013*1+-1.0626319610032628*sin(u*1.0683777579056977)",0.19961677245519802
4,"-diff(u,t)+0.2195598148156525*exp(u*0.5521162933661439)*sin(u*0.480656234119779)",0.13254544092768727
5,"-diff(u,t)+0.2195598148156525*exp(u*0.5521162933661439)*sin(u*0.480656234119779)",0.13254544092768727
