Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.8237449235888628*1+0.8645944448698222*u^1+-0.011866127340836918*u^2+0.9799402376396849*1",1.330517258064215
2,"-diff(u,t)+0.3711619926111429*u^2+-0.384277267924628*u^2+0.9576081749943498*u^1+0.9606780302144639*1",1.4756988701412268
3,"-diff(u,t)+1.0250532900184932*1+0.9842915825044161*u^1+-0.013484316858534065*u^2",1.650203540681156
4,"-diff(u,t)+-0.045056403415371704*u^3/(0.2719963658318686+u^1*4.707755298537846)+0.7131380461225985*u^1+1.323055767592658*exp(u*-0.018698135505344868)*exp(u*-0.1486578435107106)",0.931822235372342
5,"-diff(u,t)+0.9253668032660141*1/(1.1731155613792263*t+u^2/1.115728382197882)+0.9451625688644991*u^1+-0.054496096427407104*u^2/log(u*0.9849722424384837)",0.7758989308247655
