Run,Predicted solution,Loss equation
1,"-diff(u,t)+1.5747220329926446*t*u^1/(0.30545917064028516*t+u^1/-5.132973363777094*t)",0.5064896147825334
2,"-diff(u,t)+-8.065071060068085*1+9.340769213274056*1/(1.0953530846550104+u^1/-1.3007881021025407)",0.5064839771864592
3,"-diff(u,t)+3.4980416192718145*exp(u*0.09700757100097077)+-7.933855584014983*1",0.563131262101366
4,"-diff(u,t)+9.340769213274056*1/(1.0953530846550104+u^1/-1.3007881021025407)+-8.065071060068085*1",0.5064839771864592
5,"-diff(u,t)+-7.565592812133396*1+12.459141147260247*t*1/(4.495385577489532*t+u^2*0.47556127480208304*t)+0.6880721243768652*1+-0.11739141236089326*t*1",0.5286261199671799
