Run,Predicted solution,Loss equation
1,"1*diff(diff(u,t),t)+-0.715271014954883*diff(diff(u,t),t)+2.530097160024376*u-0",0.1287516629248835
2,"1*u+0.2897113891726045*diff(diff(u,t),t)+1.5743556417712028*u-0",0.13100560594999802
3,"1*u+0.2897113891726045*diff(diff(u,t),t)+1.5743556417712028*u-0",0.13100560594999802
4,"1*diff(diff(u,t),t)+-0.715271014954883*diff(diff(u,t),t)+2.530097160024376*u-0",0.1287516629248835
5,"1*u+0.2897113891726045*diff(diff(u,t),t)+1.5743556417712028*u-0",0.13100560594999802
