Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.46277543087860834*1+-0.1467039489925512*u^3*sin(u*1.11919474294044)",0.004367817723029687
2,"-diff(u,t)+0.46277543087860834*1+-0.1467039489925512*u^3*sin(u*1.11919474294044)",0.004367817723029687
3,"-diff(u,t)+0.318296135998248*1+-0.06945594533574093*u^4*sin(u*1.1779580529125915)",0.0033856431362756702
4,"-diff(u,t)+-0.28699632519920043*sin(u*3.6399768163152384)+0.9588151888653591*1+-1.1924758082334028*1",0.006846895114194268
5,"-diff(u,t)+0.1822880276075362*log(u*57.20540294818977*t)*cos(u*1.0686389652435353)",0.005198953925481028
