Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.7116461634967244*u^1+0.9384532050719712*1+-0.009547432939012163*1*(0.987722771075784*t+u^2/1.0635582656251197)",0.5820006701090408
2,"-diff(u,t)+2.2851075553620737*1+1.310033165816383*t*1+0.014023703817321445*u^2+-0.0028407786138745306*1*(-1.0179030717647122+u^2/1.4705327314019627*t)",1.1123334631925303
3,"-diff(u,t)+0.7781993968571759*u^1+-0.012499031280842818*1*(1.0306102467623504*t+u^2*0.7864253984874612)",0.7107432626450396
4,"-diff(u,t)+0.667083416263131*u^1+0.971250835211106*u^2/(1.5157584999139146+u^1*0.8054483074794978*t)+-0.08836804102883997*t*u^1",0.7906518957524423
5,"-diff(u,t)+0.7927153466617243*t*1+-0.00144793830916721*t*u^2+0.10085252785696794*t*u^1",1.3148698787308672
