Run,Predicted solution,Loss equation
1,"-diff(u,t)+1.4236452018316879*1/(1.1428892056381155*t+u^5*-0.041829614623607674*t)+1.9727636478201465*log(u*1.3936104830835911*t)+-0.010085236161335947*t*u^1",1.0380603880439432
2,"-diff(u,t)+-1.5305727183419449*t*1+1.9608796890066054*t*u^1/(2.5665922795772547*t+u^1*0.0663698417535438*t)+1.440550508468064*1",1.0534238169237704
3,"-diff(u,t)+0.058026807408947945*t*cos(u*0.9459945147279457)+2.0543512979822345*t*1+-0.029356265106827466*t*u^1+0.7727175464040694*t*1+1.3311415028690776*1",1.0594037552757638
4,"-diff(u,t)+2.2573796082657456*log(u*2.0086549545566363)+0.682120492033142*exp(u*-2.445567389950872)+-8.395810282700112e-05*t*u^2",1.0011340978291985
5,"-diff(u,t)+10.06665691719207*cos(u*0.001661865454751063)*sin(u*0.03152926121452493)",1.0777257483678024
