Run,Predicted solution,Loss equation
1,"4.001177966236277*u+0.47593458198253524*diff(u,t)+0.024532855527491113*u*diff(diff(u,t),t)+0.163765756234778/cos(3.096365805094*t^2)*u*u*u*u*u*u",4040.8005934249118
2,"1.168420677312418*u+1.0690557485628118*u*diff(u,t)*u+1.299659719617313e-05*diff(diff(u,t),t)+1.4285481093120311*t*u",3472.500119273505
3,"0.00027866519926823607*diff(u,t)+2.033126580115953*u+2.7611436653310584*u*u*u+1.0449007168562921e-05*diff(diff(u,t),t)",888.1373577744314
4,"7.759178231491104e-06*diff(diff(u,t),t)+1.2161250811242201*diff(u,t)*u*u+1.5514367563485256*u",1572.892176590875
5,"1.261696818120372*sin(1.1515569768964418*t^2)*u+1.3929845062013175*u+1.0461287174886112e-05*diff(diff(u,t),t)+0.9826001870325587*diff(u,t)*u*u",3269.8774525343906
