Run,Predicted solution,Loss equation
1,"1*diff(diff(u,t),t)+0.03404519843115562*u+2.9576448097414243*u*diff(u,t)+-0.6475997149148243*u--0.09209584503996214",0.019774239775574118
2,"1*diff(diff(u,t),t)+0.6794901973089011*u+-0.8820870718292385*u*u-0.09409785430116283*cos(1.281294990419875*t)",0.01642733064375786
3,"1*diff(diff(u,t),t)+-0.5409382236774039*u+3.2489028459439453*diff(u,t)*u--0.6778708274853225/t^2",0.02827512019135618
4,"1*diff(diff(u,t),t)+2.864137947607226*diff(diff(u,t),t)+-3.4122947666515335*u*u+2.62759462214816*u-0.3635594828252575*cos(1.2814720146505694*t)",0.06354409864842983
5,"1*diff(diff(u,t),t)+0.08877332032791724*t*diff(u,t)+-0.5723270863721277*u+2.96244127124939*u*diff(u,t)-0",0.030702676508676162
