Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.2267720153598915*t*1+0.4767337835902575*1+0.7002741741102765*t*sin(u*0.8709493812867088)",0.11459990641646055
2,"-diff(u,t)+-0.1685692471733201*log(u*1.0847581938487088*t)+2.5885311340376633*sin(u*0.689502936493612)+-0.032624747839350904*t*1",0.08858086426243617
3,"-diff(u,t)+-0.24044505496920276*log(u*1.3267870071724293)+2.5277594171375783*sin(u*0.7094817539771645)",0.09556169396900355
4,"-diff(u,t)+-0.3184056896730061*log(u/0.4480411756491384)+2.7979564643768384*sin(u*0.6890913363885147)",0.08761995913369698
5,"-diff(u,t)+-0.03140709938077494*t*1+-0.16866178554418731*log(u/0.9171201043571738*t)+2.588028153938118*sin(u*0.6899331550846565)",0.08854953670859624
