Run,Predicted solution,Loss equation
1,"0.37631857218850806*t*u+5.076510404650163*diff(u,t)+1.9941555982729318*diff(diff(u,t),t)-cos(2*t)",243.54406438966538
2,"0.9566657948047238*diff(diff(u,t),t)+0.0002973071705073243*t^3*diff(u,t)-cos(2*t)",7645.16873156617
3,"0.9951803340527007*u+-4.867408964912455*cos(0.0003230057821779883*t)*diff(u,t)*u*u+0.9785192894139421*diff(diff(u,t),t)+5.010658342934301*diff(u,t)-cos(2*t)",7.198736058024486
4,"6.565205782991824e-05*u*diff(diff(u,t),t)+-0.005840397790392315*t^2*u-cos(2*t)",10000000000.0
5,"4.620389791711045*diff(u,t)+-1.5113681913123156*u+-0.02890527651138676*t*u+2.9727230243094596*u+0.9390802092310355*diff(diff(u,t),t)-cos(2*t)",40.75570362063575
