Run,Predicted solution,Loss equation
1,"-diff(u,t)+-1.2868605231939199*u^1+20.97754131622677*1",0.14630920075635662
2,"-diff(u,t)+-0.0013536493844032646*t*u^3/log(u/1.478398876627991)+-1.1911608721643035e-06*u^4+2.435583099318606*t*1",0.10305442644400377
3,"-diff(u,t)+1.644777816567398*t*1+-0.29949436630142223*t*u^1+3.225467489880227*t*1",0.06449848730341268
4,"-diff(u,t)+1.017790387073369*u^1+-0.005882307627545429*1*(0.99503143945299+u^3*0.6546150735159333)",0.05884713335798626
5,"-diff(u,t)+-0.011411835592967542*t*u^2+1.0053537590151649*t*1+1.0252556708113327*t*1+0.9845187450660915*t*1",0.12298271308392998
