Run,Predicted solution,Loss equation
1,"-diff(u,t)+11.303831088254686*1+-0.060484193297622606*t*u^1/log(u/1.6966559478294043*t)+0.27163840214048585*1",0.23603294763321372
2,"-diff(u,t)+-0.9574868453919432*t*1+6.712689124329211*1+1.2364349819108886*1+1.425830301457061*1+1.302028918850167*1+2.39936270500239*1",0.3164712321065827
3,"-diff(u,t)+-0.9574868453919432*t*1+6.712689124329211*1+1.2364349819108886*1+1.425830301457061*1+1.302028918850167*1+2.39936270500239*1",0.3164712321065827
4,"-diff(u,t)+10.62463641055594*t*1+3.9195576191994084*1+-2.3224334426658757*t*log(u*1.1958754294201892)",0.10723179544054545
5,"-diff(u,t)+6.414134227553955*log(u*4.149455471820064*t)/log(u/6.575851957956415*t)+-0.7423958722920214*t*1",0.2998789010326021
