Run,Predicted solution,Loss equation
1,"1*diff(diff(u,t),t)+-0.3965303355206911*u*u+-6.814732179290294*u+6.814808055118226*u-169.91476510960933*t",36.82581784986543
2,"1*diff(diff(u,t),t)+4.134207419405815*cos(8.024271258231236*t)*u+-4.487960577034682*diff(u,t)-0",32.54001790285932
3,"1*diff(diff(u,t),t)+-4.487960577034682*diff(u,t)+4.134207419405815*cos(8.024271258231236*t)*u-0",32.54001790285932
4,"1*diff(diff(u,t),t)+28.978679970361508*sin(2.1687459564013016*t^2)*u+-68.01171254456939*u+23.914266952423908*u-0",32.94162176944315
5,"1*diff(diff(u,t),t)+-4.885461343549438*diff(u,t)+5.402533379516877*sin(3.083614917240725*t^3)*u-0",31.50519418435784
