Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.2108669920817962*1+-0.3233154523871924*t*sin(u/1.623767925332415)",0.005709281892344273
2,"-diff(u,t)+0.21300248729838342*1+-0.9895087953948523*sin(u*0.2052669486473428*t)",0.006839511688161734
3,"-diff(u,t)+0.2108669920817962*1+-0.3233154523871924*t*sin(u/1.623767925332415)",0.005709281892344273
4,"-diff(u,t)+-0.900127850538089*1+0.6033932192617268*1+0.5067933626792362*1+-0.3311832429255456*t*sin(u*0.5989343642814835)",0.005531154273254932
5,"-diff(u,t)+0.2108669920817962*1+-0.3233154523871924*t*sin(u/1.623767925332415)",0.005709281892344273
