Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.7028759306110658*sin(u/2.0174402551534643)+-0.07925043599642478*1+3.857626408995566*log(u*0.18129813080691848)",0.07659583037623134
2,"-diff(u,t)+-3.6528241526458918*1+-0.2793535228815174*t*1+0.6740375635752798*u^1+0.5249704700845661*1",0.09210550623449916
3,"-diff(u,t)+0.0015265123973253166*t*u^2+0.005895316945367829*u^2",0.10746587977377227
4,"-diff(u,t)+1.7939834607854017*sin(u/2.07110193319673)+0.62559304947275*sin(u*0.7454019529903879)+0.40477321938067623*t*1",0.09437421424493578
5,"-diff(u,t)+0.37084364623406846*t*u^1/log(u/0.8272723629454932*t)+0.1301960829348825*t*1+-0.7315350265665291*t*1",0.07388947191201979
