Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.2096878242379554*1+-1.0139182212052393*sin(u*0.9807065299681972)",0.006401709378527017
2,"-diff(u,t)+0.2096878242379554*1+-1.0139182212052393*sin(u*0.9807065299681972)",0.006401709378527017
3,"-diff(u,t)+0.2096878242379554*1+-1.0139182212052393*sin(u*0.9807065299681972)",0.006401709378527017
4,"-diff(u,t)+0.2096878242379554*1+-1.0139182212052393*sin(u*0.9807065299681972)",0.006401709378527017
5,"-diff(u,t)+0.2096878242379554*1+-1.0139182212052393*sin(u*0.9807065299681972)",0.006401709378527017
