Run,Predicted solution,Loss equation
1,"-diff(u,t)+0.013679635177739121*1*(0.8718076939535796*t+u^2/2.633977464789572*t)+-0.020469204364290488*t*u^2+-0.02719209426885149*u^2",0.04324784794188801
2,"-diff(u,t)+-0.3578481052055543*u^1+0.30043399806501986*1+1.1772409779228228*log(u*1.0458821620975502)/exp(u/0.8569968102219172*t)",0.02393085323327554
3,"-diff(u,t)+0.04337270205081105*t*1/(2.0020895101435436+u^1/1.4621912491089166)+1.247487879500647*cos(u/3.069938170394037)+-1.4733837459906476*1",0.049678734991168434
4,"-diff(u,t)+-0.016278229353481062*t*u^2+0.01405440353543973*t*1*(0.573213423060342+u^1/2.9960997606425437)+-0.026902104966578855*u^2",0.043730833102283186
5,"-diff(u,t)+0.011977255527617317*t*1+-0.015236166024498817*t*u^2+-0.0272262648664492*u^2",0.04325474212288482
