% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=424815, Fri Sep 19 14:21:54 2025
1 500 -0.08874563387746487 -0.016320138104959123 0.026358624081783064 0.10570440483520846 0.8811215192015862 0.9025552630351243 0.9034931037256265 0.9202302845492901 0.9221486984027617 0.929897030925944 0.9457719117788002 0.9535246206386889 0.9768301539341583 0.9816502140248355 0.987957532818283 1.007591352308087 1.0194246241351173 1.0218513195098173 1.0380342088191705 1.046944663156523 1.0683666569833246 1.0788827513887491 1.1001894776394507 1.1223500270858509 1.133800494804576
2 1000 -0.11296273457598188 -0.03163023148543552 0.03705255666166396 0.13638019959770165 0.8811215192015862 0.9025552630351243 0.9034931037256265 0.9202302845492901 0.9221486984027617 0.929897030925944 0.9457719117788002 0.9535246206386889 0.9768301539341583 0.9816502140248355 0.987957532818283 1.007591352308087 1.0194246241351173 1.0218513195098173 1.0380342088191705 1.046944663156523 1.0683666569833246 1.0788827513887491 1.1001894776394507 1.1223500270858509 1.133800494804576
3 1500 -0.14440421233468273 -0.039675717878564096 0.040262356960647845 0.18535881309888758 0.8811215192015862 0.9025552630351243 0.9034931037256265 0.9202302845492901 0.9221486984027617 0.929897030925944 0.9457719117788002 0.9535246206386889 0.9768301539341583 0.9816502140248355 0.987957532818283 1.007591352308087 1.0194246241351173 1.0218513195098173 1.0380342088191705 1.046944663156523 1.0683666569833246 1.0788827513887491 1.1001894776394507 1.1223500270858509 1.133800494804576
4 2000 -0.15279100423132055 -0.045745655419596604 0.04446931669829819 0.22248925366545824 0.8811215192015862 0.9025552630351243 0.9034931037256265 0.9202302845492901 0.9221486984027617 0.929897030925944 0.9457719117788002 0.9535246206386889 0.9768301539341583 0.9816502140248355 0.987957532818283 1.007591352308087 1.0194246241351173 1.0218513195098173 1.0380342088191705 1.046944663156523 1.0683666569833246 1.0788827513887491 1.1001894776394507 1.1223500270858509 1.133800494804576
3 1500 -0.1797441805284315 -0.05197157166967317 0.047501958181322315 0.21819405722756002 0.888215220283581 0.8986586804399375 0.9069390823798117 0.9198273209863405 0.9309458879220983 0.9421354810582615 0.945952512963743 0.9522217521117824 0.9629971527040232 0.971644754940204 0.9895447802603061 0.9966609281257477 1.007684638146755 1.022788489965557 1.0333206013408471 1.0411461600205847 1.0641197375672866 1.0760983301456415 1.095281375344999 1.1167930706350142 1.1766803897771962
5 2500 -0.16284040617553308 -0.05760235027850555 0.05289642707561434 0.17787472103575944 0.8811215192015862 0.9025552630351243 0.9034931037256265 0.9202302845492901 0.9221486984027617 0.929897030925944 0.9457719117788002 0.9535246206386889 0.9768301539341583 0.9816502140248355 0.987957532818283 1.007591352308087 1.0194246241351173 1.0218513195098173 1.0380342088191705 1.046944663156523 1.0683666569833246 1.0788827513887491 1.1001894776394507 1.1223500270858509 1.133800494804576
4 2000 -0.16505241640716692 -0.05317385498324607 0.052140439380921354 0.21602536392666102 0.888215220283581 0.8986586804399375 0.9069390823798117 0.9198273209863405 0.9309458879220983 0.9421354810582615 0.945952512963743 0.9522217521117824 0.9629971527040232 0.971644754940204 0.9895447802603061 0.9966609281257477 1.007684638146755 1.022788489965557 1.0333206013408471 1.0411461600205847 1.0641197375672866 1.0760983301456415 1.095281375344999 1.1167930706350142 1.1766803897771962
5 2500 -0.19677179942198625 -0.056574798154031214 0.06268111026841162 0.24406670228785643 0.888215220283581 0.8986586804399375 0.9069390823798117 0.9198273209863405 0.9309458879220983 0.9421354810582615 0.945952512963743 0.9522217521117824 0.9629971527040232 0.971644754940204 0.9895447802603061 0.9966609281257477 1.007684638146755 1.022788489965557 1.0333206013408471 1.0411461600205847 1.0641197375672866 1.0760983301456415 1.095281375344999 1.1167930706350142 1.1766803897771962
