Predicted solution,R2
2.6818 * x_0 + 11.5137 * (-1 + -0.0485 * x_0 * sin(0.1101 + 0.6134 * x_0))**2 + -0.1509 * (x_0)**2,-1.577906637234182
2.6818 * x_0 + 11.5137 * (-1 + -0.0485 * x_0 * sin(0.1101 + 0.6134 * x_0))**2 + -0.1509 * (x_0)**2,-1.577906637234182
2.6818 * x_0 + 11.5137 * (-1 + -0.0485 * x_0 * sin(0.1101 + 0.6134 * x_0))**2 + -0.1509 * (x_0)**2,-1.577906637234182
2.6818 * x_0 + 11.5137 * (-1 + -0.0485 * x_0 * sin(0.1101 + 0.6134 * x_0))**2 + -0.1509 * (x_0)**2,-1.577906637234182
7.1476 * x_0 + -0.5378 * (x_0)**2,0.4840234988425922
