Predicted solution,Loss
"[0.412667153063942*x0 + 3.51135795624567, 0.285451914162884*t - 23.2400402589062*t/x0 + 8.50341437985473]",5.302818102859087
"[-69.5525604871805*t**2*x0, -t - 1.72874091646923 + 129.754738588594*exp(7.90038284944662*exp(-19.3772020691764/t))/x0]",5.2030977821951145
"[t*x0, 0.0970953797119613*x0 + 0.680946167037918]",5.397338209711254
"[-3.48884827534404*t + 7.41162890635194*x0**2/t, 0.0970954367163106*x0 + 0.680936401787194]",5.3973453855599525
"[2*t - x0**2 + 5.42480550810663*x0**2/sqrt(1 - 0.366530252885425*t) + x0, 0.097096906548097*x0 + 0.680661322901175]",5.397275753153768
