Predicted solution,Loss
"[t, 0.915775998848413*t + 0.821638922483227 - 0.378358982204115/(t*x0)]",0.4686465441934425
"[x0 - 5.31789772085379, 3.79363099627334*sqrt(0.905262739043113*t - 1) - 1.61631936500555]",0.4582744214151696
"[8.34823114482367/t, x0 + 1.3886426565599 - 176.147159459245*exp(-15.551997095928/t)]",0.4742150365898382
"[x0 - 6.07596552081984, 1.13247187666859*t - 0.0260600574194421*x0]",0.4837234069599237
"[9.48991219737215*sin(t**2) - 56.9220544967316, 17.6152654904401 - 156.450417128976/(t + 7.93850107235261)]",0.45836245658007546
