Predicted solution,Loss
"[9.63718981954942*t, -0.00474556621383959*t - 0.00941243108396601*x0*(t - 67.1874091579982) - x0 + 0.459105744193002]",0.1161385592100576
"[1.47563340287142*x0 - 4.31411473067152/t**2, t - 0.21595688108337*t/sqrt(1/t) - 3.15794624179489]",0.25705605841872453
"[t, -0.357505575701512*x0 + 0.293566891761135 + 0.00149628523228808*x0/t]",0.11666400007477437
"[-9.08289448385202*t*x0**2, 0.290218304609715 - 0.355199643389821*x0]",0.1166799049272934
"[t + 19.1309394315163*sqrt(0.00273229386222036*x0 - 1) - 65.2320285831656, 0.290230203792974 - 0.355207829868898*x0]",0.11667989808520139
