Predicted solution,Loss
"[x0, 1.15400724397639*x1 + 1.91201742458536, t + 0.0613323343785512*x0**2 + 2.26281087788502]",0.5262413853456461
"[t, 3.81929869027249*t, x1 + 2.84565160176704]",0.5577962691037632
"[x0, 1.48329192700041*x0 - 0.768759682623523*x1, 4.67122868965215*t]",0.34540061769217206
"[x0 + x1, x1 + 2.00783723233912, 4.64826446679784*t + 0.0128139677196357*x1]",0.35079495878488903
"[-t*x1/x0 + x0 - 1.80284201633757*x1 + 5.40229606930142, x0 + 0.477897759775109, 4.62604121778066*t]",0.36411939708876956
