Predicted solution,Loss
"[-t**2*x0, 0.111322826808626 - 0.793913347784346*x0]",0.06448955203275404
"[x0 - 3.06776711129129/t, 3.48766600291846*sin(0.297633725410568*t*x0 - 9.7467903220087)/t]",0.025277537425141116
"[t, -2.03956868974036*x0 + 0.179423325333151 + 4.76764795350472*x0/t]",0.02865013414019935
"[3.46876726973873*x0, -0.836981510733492*x0 + 0.118965663495427*cos(x0)]",0.05939938388676902
"[t + 1.24569065830645*sqrt(0.644435690579439*x0 - 1) + 4.22729882280279, 0.111323449411881 - 0.793984061207254*x0]",0.06448182895712928
