Predicted solution,Loss
"[x0, -0.0028480676828457*x0*(-t - 6.65705693887297*x0) - 0.428008575056183]",0.13992187630245034
"[x0, -2.1518167516799*x0*cos(14.3141236517213 - 0.959570564538534/x0)]",0.18791334585729513
"[6.82145177437499*t, 0.38021582239966*x0 - 2.06147090791216]",0.18750852565171514
"[cos(t/x0) + 0.580755019376842, 0.386312592861221*x0 - cos(t**2) - 2.11897508692499]",0.20350735876854373
"[t**2 - 9.14512855644355/t, 0.457491141077827*x0 - 3.31583665294334 + 0.32604314195193*x0/t]",0.12982727739563818
