Predicted solution,Loss
"[x0, -0.181960572087138*t - 0.209456790928954*x0 + 18.7505897795259]",3.516690088307021
"[t, 21.0393943839081 - 0.276334172805392*x0]",4.054607322975921
"[-x0 + 8.85351279508469 - 1/(t*x0), -0.0211703424873769*sqrt(t)*x0 - 0.143867625884956*x0 + 17.1431860510466]",3.2994486916955763
"[x0*(3*x0 - 2.00248727864138 - 7.59098265605263/x0), -1.0078217436739 + 23.9736974991421/t]",6.425873344854398
"[x0 - 8.24102247930415*sqrt(x0*exp((x0 + 5.53538468135366/t)/x0)), 9.57478815683487*t + 13.3144890190833*t*(21.0878499202933 - x0)/x0]",3.2271164616365424
