Predicted solution,Loss
"[x0**2/(t + cos(t)) + 8.39090354759061 + 1.47988369093521/t, -0.191368538743565*t*x0 + 1.75021694559034*sqrt(x0) - 0.108833414190947]",0.16916848304865895
"[-1.78683057071528*t, -0.508818101058089*x0 + 2.5667010655272 - 0.247249748706365/x0]",0.2734322213184525
"[x0, -x0 - 2.00789993961826*cos(x0) + 3.1473206450324]",0.11685913146227549
"[cos(t - x0 + 13.2638006734377), 29.2476065571866/(t*(x0**2 + 59.7257505175708*x0 + 160.403150114501*cos(t) - 70.4158224004097))]",0.08869085218763183
"[-7.34557756511964*x0, 1.33426751511027 + 0.00453950768452522/(x0 - 4.19273516369968)]",0.24981521264716192
