Predicted solution,Loss
"[-0.600250250080073*x0, -0.142534335707346*x0 + 14.7291718122204/t]",2.3349755500508533
"[4.08409120393146 - 3.24947567912026*x0, t*(16.7796241424319 - 1.25397394930317*x0)]",2.21681245261804
"[t, -1.13108860791106*t + 3.09644213521344 - 12.6475741518607*(t*(x0 - 59.3830116254094)/x0**2 + 0.563820313938066)*exp(-t/x0**2)/sqrt(t)]",2.0490063857037404
"[9.34611057846672*t, -x0 + 11.7600407050866 + x0/t]",2.219277360765481
"[x0, t/x0 - 2.20705257275201*x0 + 28.8376289469412]",2.307758814102226
