t_val,u_val,du_dt_val,d2u_dt2_val,f_val
0,1,0,0,1
0.1,0.999982526952698,-0.000673289541828901,-0.0199158314682845,0.980066577841242
0.2,0.999733383004269,-0.00528798328772459,-0.0786582922186788,0.921060994002885
0.3,0.998668233408933,-0.0175961740698867,-0.173098434574755,0.825335614909678
0.4,0.995847503060591,-0.0409041949619947,-0.297445774871918,0.696706709347165
0.5,0.990038706398387,-0.0777468598542629,-0.442030380636359,0.54030230586814
0.6,0.979814710286107,-0.129421044243998,-0.591596603460774,0.362357754476674
0.7,0.963698894916588,-0.195391402568874,-0.724089918513655,0.169967142900241
0.8,0.940387542554714,-0.272625039250585,-0.811912642498276,-0.0291995223012888
0.9,0.909025515957491,-0.355284695404705,-0.827711506553386,-0.227202094693087
1,0.869456451851568,-0.435316117427327,-0.754418637879144,-0.416146836547142
1.1,0.82238435113486,-0.503851099775396,-0.595442824374675,-0.588501117255346
1.2,0.769315350579223,-0.553495890676702,-0.377151557954377,-0.737393715541245
1.3,0.712413511446451,-0.579494908541316,-0.142391701909044,-0.856888753368947
1.4,0.654071113634758,-0.582450212905431,0.0700703313886015,-0.942222340668658
1.5,0.596454857058527,-0.566260512937545,0.237595550584456,-0.989992496600445
1.6,0.541238775529458,-0.536043599921326,0.355542963079649,-0.998294775794753
1.7,0.48957023274278,-0.49646977431525,0.431013519319653,-0.966798192579461
1.8,0.442177478088849,-0.451076393479963,0.475471710957657,-0.896758416334147
1.9,0.399521124945709,-0.402301800963543,0.499948875091972,-0.790967711914417
2,0.361839207403378,-0.351674109357535,0.512668461793484,-0.653643620863612
2.1,0.329263450642373,-0.30009750384149,0.518288763218916,-0.490260821340699
2.2,0.301857295283209,-0.248171420025896,0.518602732639312,-0.307332869978419
2.3,0.279630878403611,-0.19644296543774,0.513628677325736,-0.112152526935055
2.4,0.262537576242836,-0.145484570442758,0.502245927218626,0.0874989834394464
2.5,0.250471123623959,-0.0960415851028698,0.483272766774173,0.283662185463226
2.6,0.243239056230683,-0.048962459934608,0.455605536650723,0.468516671300377
2.7,0.240558504855951,-0.00514288956773903,0.418360765119709,0.634692875942635
2.8,0.242059183618964,0.0344641158482746,0.371282834757055,0.77556587851025
2.9,0.247272876188169,0.0688914881631807,0.314850662744089,0.885519516941319
3,0.255637236292089,0.097274068865014,0.249947200919143,0.960170286650366
3.1,0.266508202802945,0.118806467269704,0.178193668177147,0.996542097023217
3.2,0.279164731913151,0.132879948264171,0.101399075712888,0.993184918758193
3.3,0.292849010078057,0.13910564613614,0.0215042297286903,0.95023259195853
3.4,0.306748654585626,0.13725544846263,-0.0590533298625818,0.869397490349825
3.5,0.320059719053623,0.127377586974853,-0.137803730801452,0.753902254343305
3.6,0.332022035231453,0.109830925422294,-0.212287293027748,0.608351314532255
3.7,0.341852101073712,0.0851883907005968,-0.279469932544276,0.43854732757439
3.8,0.348926510131898,0.0543350200039659,-0.336265403071057,0.251259842582256
3.9,0.352628669002228,0.018425222808115,-0.379343758585689,0.0539554205626498
4,0.352570902247252,-0.0210135812605523,-0.406063626247049,-0.145500033808614
4.1,0.348443290487653,-0.0622610110466348,-0.414089491825267,-0.339154860983835
4.2,0.340184310758491,-0.103381229269507,-0.402385971132406,-0.519288654116686
4.3,0.327885176271271,-0.142417785913079,-0.371072041165591,-0.678720047320012
4.4,0.311858745035915,-0.177368832077813,-0.322358405161217,-0.811093014061656
4.5,0.292618261454133,-0.206775534882396,-0.258397086875963,-0.911130261884677
4.6,0.270730360516185,-0.229161491283826,-0.183748400641887,-0.974843621404164
4.7,0.247022356699287,-0.243749940594225,-0.102333857128075,-0.999693042035206
4.8,0.222266284524248,-0.250087778567293,-0.0182898063432935,-0.984687855794127
4.9,0.197283086956323,-0.247965314953565,0.0638624011889063,-0.930426272104753
5,0.172906672802842,-0.237877840947749,0.141852169808125,-0.839071529076452
5.1,0.14990160419043,-0.220275982465971,0.212464108771967,-0.7142656520272
5.2,0.129005494692367,-0.195985780446241,0.273630764042769,-0.560984257427229
5.3,0.11079306611118,-0.166128207366899,0.32431357525439,-0.38533819077183
5.4,0.0958155016759399,-0.131749021953404,0.36255201945549,-0.194329906455335
5.5,0.0844657009710321,-0.094164217153709,0.387422031105344,0.00442569798805079
5.6,0.0769214685736557,-0.0547948336728136,0.398436482474945,0.20300486381875
5.7,0.0734120019328348,-0.014999894627653,0.394674141240664,0.393490866347891
5.8,0.0738489578829383,0.0237081200645115,0.376546552709958,0.568289629767974
5.9,0.0780376632006426,0.0599103765859098,0.344667166946206,0.720432478990839
6,0.085652647851035,0.0922975285110215,0.300099315230203,0.843853958732492
6.1,0.0962743405117051,0.11966981662514,0.244556167688273,0.933633644074637
6.2,0.109347936361004,0.141025352423376,0.180148784178378,0.986192302278864
6.3,0.124231541836877,0.155584156489541,0.10928828293225,0.999434585501005
6.4,0.140218629329913,0.162837052903563,0.03443658328939,0.972832565697435
6.5,0.156561497819338,0.162490119782086,-0.0416509303124651,0.907446781450196
6.6,0.172489834970096,0.15455901161507,-0.116408162520573,0.805883957640451
6.7,0.187260119690014,0.139316663010637,-0.187223715169785,0.672193083553468
6.8,0.200160063076289,0.117298055925404,-0.251449173863741,0.511703992453149
6.9,0.210545411442838,0.0892999059811257,-0.30643702040855,0.330814877949047
7,0.217874512336099,0.056373990494956,-0.349627076386995,0.136737218207834
7.1,0.221722731740828,0.0198089152741177,-0.378689903610601,-0.0627917229240818
7.2,0.221797259644691,-0.0189021227737047,-0.391753359433297,-0.259817356213756
7.3,0.217971345759316,-0.0581050762413045,-0.387734154814148,-0.446484891412266
7.4,0.210258344625558,-0.0960479057791885,-0.366602002227301,-0.615352482954721
7.5,0.198873634332604,-0.131032971933444,-0.329308931036535,-0.759687912858821
7.6,0.184189668342781,-0.16157290223677,-0.277469617409711,-0.87373698301108
7.7,0.166725848136174,-0.186293161263122,-0.214105387317325,-0.95295291688718
7.8,0.147124383084025,-0.204204612155011,-0.14237958802064,-0.994177625183815
7.9,0.126086046594975,-0.214664600067406,-0.0655940126904354,-0.995767608873289
8,0.104401069814969,-0.217312793244689,0.0126603215391553,-0.957659480323385
8.1,0.082846429807817,-0.212172984093371,0.0893647211006118,-0.881372490362235
8.2,0.062172753432201,-0.199534883557585,0.161697241969023,-0.769947960542072
8.3,0.0431273437275861,-0.179987510107797,0.2273083167197,-0.627828035246386
8.4,0.0263516702730062,-0.154314124099255,0.284004576051344,-0.460678587411363
8.5,0.0124054083224254,-0.123498862075837,0.329830535239653,-0.275163338051597
8.6,0.0017666318891219,-0.0887369951424844,0.363238764355872,-0.0786781947318402
8.7,-0.00525050519841895,-0.0513188548100024,0.382781305436035,0.120943599928474
8.8,-0.00845531796082977,-0.0126743524226909,0.387566304394047,0.315743754919243
8.9,-0.00779493525993218,0.0256945075690403,0.377286406325036,0.497956202788415
9,-0.00337344832198157,0.0622943554628225,0.352221923848611,0.66031670824408
9.1,0.00455882659570976,0.095690057446697,0.313353300047169,0.796352470291923
9.2,0.0156155192201216,0.124573984203195,0.262306615516076,0.900640172384768
9.3,0.029288263835212,0.147829274159324,0.201221599836917,0.96902219293905
9.4,0.0449676997165705,0.164574475634955,0.132596204009183,0.99877235658721
9.5,0.0619792562991987,0.174195571216012,0.0590933047152604,0.988704618186669
9.6,0.0795823263246305,0.176338022143811,-0.0164680412260784,0.939220346696871
9.7,0.0970249762781502,0.170930184343055,-0.0913380219485628,0.852292323865464
9.8,0.113562176115586,0.158171069433529,-0.162832266169179,0.731386095645497
9.9,0.128465480291823,0.138531010466652,-0.228367571531702,0.581321811814436
10,0.141089216035571,0.112735427502943,-0.285463640570223,0.408082061813392
10.1,0.15086897401703,0.0817474059547416,-0.331729189634159,0.218573367785263
10.2,0.15733221951764,0.0467656594249385,-0.365021621557477,0.020350843331683
10.3,0.160153844563052,0.0091783518677425,-0.383551519538003,-0.178683005024735
10.4,0.159158594356639,-0.0295012995605206,-0.385981977068735,-0.370593325837641
10.5,0.154300657818087,-0.0675992689909498,-0.372080824300802,-0.547729260224268
10.6,0.145727752725069,-0.103533053452445,-0.342084881709971,-0.703028957465386
