t_val,u_val,du_dt_val,d2u_dt2_val
0,0,3,-1.5
0.1,0.291489868895526,2.81994133602985,-2.08871617098306
0.2,0.562156858778463,2.5849048906767,-2.59801117563768
0.3,0.806934996501653,2.30323803700847,-3.01951837728477
0.4,1.02170669493091,1.98391140414542,-3.34755310860492
0.5,1.20300816044548,1.63676896221545,-3.5785009229669
0.6,1.34845438358633,1.27158725154014,-3.71140937807455
0.7,1.45681873982824,0.897923237139482,-3.74811066068489
0.8,1.52792924246721,0.524971353630937,-3.69289044067484
0.9,1.5622386895257,0.161691854944456,-3.55147711717524
1,1.56106262866518,-0.183186560671225,-3.33163775272313
1.1,1.52652188207808,-0.502194170414829,-3.04252039105713
1.2,1.46153172226693,-0.789161267773074,-2.69460619838575
1.3,1.36973328396114,-1.03916598761897,-2.29956381035732
1.4,1.25497166314597,-1.24795984489135,-1.86923154818155
1.5,1.12158724581935,-1.41240167265295,-1.41612851819856
1.6,0.974079973017314,-1.53077442539692,-0.952456628945303
1.7,0.817024887746806,-1.60276022181953,-0.489901703316954
1.8,0.654869417390542,-1.62914711719271,-0.0392730752525152
1.9,0.492303789795934,-1.61161360162852,0.3884628311138
2,0.333767850445295,-1.5528104253994,0.783456571394358
2.1,0.183180883212014,-1.45630123634292,1.13762163573544
2.2,0.0439416103605548,-1.32656257986181,1.44463462409096
2.3,-0.0810510622881266,-1.1688084973047,1.69979584463319
2.4,-0.189177069820601,-0.988280851985516,1.89912218651149
2.5,-0.278290940341945,-0.790835122352442,2.04012953138667
2.6,-0.34694776465627,-0.582318550838295,2.12208687247702
2.7,-0.394407307450126,-0.368491358899139,2.14598730590154
2.8,-0.420553431234558,-0.154958056030624,2.11431233609017
2.9,-0.425622030981377,0.0528273065532008,2.03035441521443
3,-0.410409963550267,0.249659106181972,1.89869034238874
3.1,-0.376205381668355,0.431042432565363,1.72477600207756
3.2,-0.324779549245538,0.5932094757269,1.5149177382919
3.3,-0.258242851319482,0.733021877816185,1.27596121784453
3.4,-0.178972206104503,0.847793803391944,1.01519842401775
3.5,-0.0895920969814406,0.935629615405847,0.740151381624615
3.6,0.00718246293506208,0.995492278009537,0.458145334535771
3.7,0.108568078578473,1.02716711274008,0.176271450159078
3.8,0.211765937656226,1.03098885223506,-0.0986091825706811
3.9,0.313937515728389,1.00795493779779,-0.359861543215997
4,0.412473130986735,0.959677268459768,-0.60172403487104
4.1,0.505018184713412,0.888362538483343,-0.819364362391825
4.2,0.58947557189956,0.796658741049976,-1.00880893362501
4.3,0.663886142978406,0.687577301488917,-1.16660521739197
4.4,0.726590995312612,0.564472676076789,-1.29021742250033
4.5,0.776361411413992,0.430792365528925,-1.37822651441152
4.6,0.812399201451848,0.290075296110337,-1.43033043950807
4.7,0.834244933327223,0.145797356752109,-1.44703765890327
4.8,0.841659760604153,0.00156911228597739,-1.42947077710222
4.9,0.834762380750158,-0.139133341521569,-1.37957457898011
5,0.814032564292182,-0.273228357068931,-1.29999508809203
5.1,0.78031115481659,-0.398028734919416,-1.19407980219035
5.2,0.734727881426711,-0.511208195883809,-1.06571423380341
5.3,0.678505153526889,-0.610630721350196,-0.918916981852242
5.4,0.61311953863636,-0.694582367710302,-0.758127782501919
5.5,0.54016190566904,-0.761884858245186,-0.587801342997675
5.6,0.461320843821521,-0.811893021206485,-0.412367448794656
5.7,0.378287458692294,-0.844370521408606,-0.236055373683887
5.8,0.292902934048015,-0.85938442960302,-0.0633157911045454
5.9,0.206941404902867,-0.85741572007501,0.101776995141365
6,0.122034397607967,-0.839366773767681,0.255717400923789
6.1,0.0396708298513674,-0.80656137828197,0.395568256745004
6.2,-0.0388091125914529,-0.760655609130786,0.518931248477316
6.3,-0.11216144720898,-0.703326797324376,0.623659769317489
6.4,-0.179258051598529,-0.636573986450033,0.708057978793759
6.5,-0.239231161767188,-0.562467699276168,0.771116619525946
6.6,-0.291480476443065,-0.483121249800163,0.812516121864496
6.7,-0.335667097770576,-0.400678752779481,0.83260514914278
6.8,-0.371585667812859,-0.317199624363844,0.832022879687239
6.9,-0.399196516184003,-0.234801568787918,0.811850562145538
7,-0.41867610870362,-0.155415033905278,0.773614561022068
7.1,-0.430405053520368,-0.0807183543991756,0.719223643714547
7.2,-0.434967144269669,-0.0121377661953915,0.650966300477016
7.3,-0.433041178983062,0.0491038079637439,0.571264394820083
7.4,-0.425414646302244,0.101912552353363,0.482744198670435
7.5,-0.412975398185473,0.145489565546582,0.388132393948047
7.6,-0.396656114727262,0.179365113915289,0.290099838917791
7.7,-0.377433324195399,0.203397199592114,0.191259573627273
7.8,-0.356278297973698,0.217651893876345,0.0941036388120982
7.9,-0.334186121958806,0.22238527518247,0.00108454321926865
8,-0.312100571863993,0.218100261167215,-0.0856011962315525
8.1,-0.290873307551129,0.205518427972759,-0.164101199534752
8.2,-0.271260042098064,0.185567274176253,-0.232910642907377
8.3,-0.253925466707803,0.159261836195598,-0.290800952403739
8.4,-0.239499035559012,0.12778273726775,-0.336719552149934
8.5,-0.228468027338215,0.0923611921208597,-0.369999885943476
8.6,-0.221160719616092,0.0542487090925237,-0.390388492255487
8.7,-0.217746388847475,0.0147170901297806,-0.398045150504651
8.8,-0.218263433466116,-0.0249768665082557,-0.393455056970097
8.9,-0.222698121466112,-0.0636390153158303,-0.377208249297444
9,-0.230899831863421,-0.100101139479394,-0.350229968266846
9.1,-0.242607103757981,-0.133343747614053,-0.313654225301257
9.2,-0.257450289298858,-0.162501318351092,-0.268814621210774
9.3,-0.274967825085338,-0.186856266312964,-0.217206742889052
9.4,-0.294656797617497,-0.205792461403959,-0.160385032818379
9.5,-0.315936955544483,-0.21884298559418,-0.100028907317079
9.6,-0.338209459145894,-0.22572792418252,-0.0377769988798455
9.7,-0.360861969001205,-0.226354584925561,0.0247856789990798
9.8,-0.383296755192059,-0.220791512125691,0.0861850314186612
9.9,-0.404898829210868,-0.209222696121532,0.144955351686115
10,-0.425028992026474,-0.191979965434253,0.199638188120174
10.1,-0.443126934571334,-0.169510950720722,0.249024143152789
10.2,-0.45871291214587,-0.142378231557533,0.292156713815709
10.3,-0.471387744418474,-0.111259336441007,0.328332387797984
10.4,-0.480821285815217,-0.0769122808314294,0.357054699233604
10.5,-0.486700613199995,-0.0400810136727062,0.37785754640975
10.6,-0.488798115681255,-0.00159495135735932,0.390525322657917
10.7,-0.486984759293631,0.0377360485123057,0.395073718125768
10.8,-0.481228561859874,0.07713084312968,0.391741495528859
10.9,-0.471572986738903,0.115842714003657,0.380933799356533
11,-0.458114621189264,0.153122478384523,0.363184988210506
11.1,-0.441025745502897,0.188284081189401,0.339182465886281
11.2,-0.420544365144181,0.220749212635403,0.30971966867043
11.3,-0.396972328842598,0.250047516420454,0.275691483265258
11.4,-0.370642509685054,0.275787628877822,0.238026917176086
11.5,-0.341937509196715,0.297619130708817,0.197755130138122
11.6,-0.311261264936908,0.315307365034362,0.155897300411331
11.7,-0.279026894888061,0.328745084945728,0.11343067690743
11.8,-0.245656674727109,0.337952438108473,0.0712888029333009
11.9,-0.211552356100972,0.343032842141192,0.0303096543120933
12,-0.17713364707368,0.344126517034696,-0.00864463903207324
12.1,-0.1428151545567,0.341455599028573,-0.0447677014219296
12.2,-0.108963069524572,0.33531526165833,-0.0774124612898298
12.3,-0.0758951670149172,0.326073715755393,-0.10609084919292
12.4,-0.0438808061284312,0.314172209447109,-0.130473492219973
12.5,-0.0131426745391204,0.300078619318156,-0.150361839858834
12.6,0.0161114823445133,0.284220494940886,-0.165575052847376
12.7,0.0437051066656876,0.267094533491745,-0.176045041888536
12.8,0.0695213357519728,0.249174002966661,-0.181841136012769
12.9,0.0935034692944202,0.230904470571777,-0.183168802656982
13,0.115654969347564,0.212703802723453,-0.180369336642821
13.1,0.136029136234934,0.194953542113683,-0.173889429271399
13.2,0.154674017159349,0.177991923401822,-0.164139641085906
13.3,0.171680025029097,0.16215657348636,-0.151634495823123
13.4,0.187166143093709,0.147714744191839,-0.136922809213593
13.5,0.201275800691692,0.134856704083633,-0.120573779990428
13.6,0.214176873250532,0.123695738467949,-0.103176701221696
13.7,0.226055712376285,0.114273232272535,-0.0853282946289691
13.8,0.237077780090486,0.106614689757587,-0.0675620307168074
13.9,0.247426266749241,0.100704339636111,-0.0504317085281349
14,0.257274813607988,0.0964680753126547,-0.0344344729575096
14.1,0.266780583121098,0.0937761579492763,-0.0199945918476198
14.2,0.276084258941877,0.0924432164655393,-0.0074632154615859
14.3,0.285307720793668,0.0922384457856438,0.00288256748441884
14.4,0.294549665975922,0.0929437174188784,0.0108218401999082
14.5,0.303898426824797,0.0943084370542182,0.0161805934224037
14.6,0.313413331724318,0.0960744404201118,0.0188660711077132
14.7,0.323122580381729,0.0979817386100809,0.0188693933335202
14.8,0.33302324382749,0.0997685180827196,0.016265727201543
