t_val,u_val,du_dt_val,d2u_dt2_val
0,0,1.5,-0.1
0.1,0.149144247729069,1.47915722675944,-0.325207904781393
0.2,0.295056215861778,1.43217081739791,-0.643735938650939
0.3,0.434367128992473,1.34500084441665,-1.12181768840773
0.4,0.562141847689383,1.20130920273166,-1.77611292119846
0.5,0.672130420861358,0.986021966071589,-2.5483323723283
0.6,0.756919273012931,0.692665730591304,-3.294045208649
0.7,0.808717315721075,0.336714211525659,-3.81015509799103
0.8,0.8228723188498,-0.0526398604365619,-3.93324498281957
0.9,0.798349400409325,-0.433932098284907,-3.6205300750472
1,0.737936703035977,-0.765621254954512,-2.97243579024454
1.1,0.647653263229843,-1.02362283476565,-2.17799641106074
1.2,0.535686024498195,-1.20279856806557,-1.4254804776395
1.3,0.409357388101908,-1.31389079488237,-0.824687127454933
1.4,0.274623082014338,-1.37354493713766,-0.401765189945617
1.5,0.135785548399817,-1.39863696658896,-0.120888750079329
1.6,-0.00436778992076997,-1.40005299749951,0.0864669668645298
1.7,-0.143584249183576,-1.3813243737021,0.298724162941565
1.8,-0.279911405145376,-1.3384293713403,0.589866003618246
1.9,-0.410443420487467,-1.26002621429852,1.01415678357798
2,-0.530374945886444,-1.13046518518296,1.5838551895071
2.1,-0.6341845642313,-0.939230633315888,2.25296599680086
2.2,-0.71570064559893,-0.681442727124512,2.90981033013031
2.3,-0.768510262465935,-0.363707286104377,3.39566695511794
2.4,-0.787502741001434,-0.0138295516754345,3.56466027662629
2.5,-0.771162280436433,0.334800670099544,3.36241684744239
2.6,-0.721635797383421,0.647707305215515,2.8534408708901
2.7,-0.643730108975212,0.900317216413492,2.18186890515764
2.8,-0.543862546911019,1.08404345840704,1.50404796409272
2.9,-0.428956564086681,1.20460320475161,0.931370499465815
3,-0.304605489478782,1.27522958768168,0.504749171684854
3.1,-0.175105629349214,1.30986562609094,0.209328603052136
3.2,-0.0434494194848319,1.3195778857705,-0.0040392757446938
3.3,0.0882336015124402,1.30945624567443,-0.198806340107979
